,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,LTE,LTE,LTE,LTE,LINK,LINK,LINK,LINK,ADA,ADA,ADA,ADA
,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume,volume,price,market_cap,total_volume
661,1424390400000,244.0821,3383185375.785,80482172.09597999,1496102400000,230.79837139121355,21249999565.212254,820279582.1697654,1424390400000,1.843826175130122,67553926.39710459,1593645.9915766045,1567296000000,1.7820111416008997,649088568.3526369,45877647.860850856,1565395200000,0.04760844579940038,1480799454.9126983,98885536.97676484
662,1424476800000,244.1459,3384954726.9025,64143296.199941635,1496188800000,231.37212671271118,21309492258.258083,649753307.2629591,1424476800000,1.846896012504602,67722452.09810592,1088710.2534503157,1567382400000,1.768151176565002,644265750.9268655,74048135.14772929,1565481600000,0.051977493522885866,1617713769.3221369,122064083.188201
663,1424563200000,235.5529999999999,3266702003.4249988,74180476.06972592,1496275200000,221.82807122254022,20436692118.01529,438784642.5121543,1424563200000,1.796595287608171,65931191.56173267,2132825.770891302,1567468800000,1.8134625075085704,661724712.8171743,117460864.03143448,1565568000000,0.055142333964456,1714947082.3845325,121512163.10952921
664,1424649600000,238.1319,3303312137.1225,61755698.92656742,1496361600000,224.31670548594502,20671991234.40535,226780300.74337018,1424649600000,1.809929192501906,66470833.28832439,1314332.7589457766,1567555200000,1.8482504021130275,674937327.4693108,102156412.96480526,1565654400000,0.05296431927823547,1646774788.1645753,96213549.93362917
665,1424736000000,238.7314,3312404143.285,58732103.48183354,1496448000000,225.39759443485244,20777803231.835773,199543169.93195236,1424736000000,1.823261840587675,67016275.32114809,1106304.4189617916,1567641600000,1.7770116193732683,647254906.8741812,290187940.97103137,1565740800000,0.05288183699309247,1645456062.5378282,114096214.88935167
666,1424822400000,237.378,3294575196.45,57584610.05522578,1496534400000,247.4275410848339,22815254964.736126,405540899.41456276,1424822400000,1.80465103110056,66384095.397638224,1125811.9100727483,1567728000000,1.7976355561798185,655264950.5963635,98042164.89632069,1565827200000,0.046872256846815896,1456400422.7742314,125290248.07143985
667,1424908800000,236.1711557723409,3278687399.961783,44991044.50687964,1496620800000,248.93012523209245,22960811912.55524,233840017.29033926,1424908800000,1.796717892612276,66140157.39845226,747261.1479940391,1567814400000,1.7272760511964396,629430554.0882139,84716024.43666069,1565913600000,0.04754609016915611,1477218184.4392877,102942548.59450716
668,1424995200000,253.8991,3525782547.105,137186494.71170896,1496707200000,266.13970806704395,24555497266.27736,421823672.7720283,1424995200000,1.854937944904619,68335086.58796273,4016133.115210319,1567900800000,1.766384457895482,643736163.6400805,83910018.94095717,1566000000000,0.0466719398026876,1451381909.2079942,99397950.1399107
669,1425081600000,253.5991,3522504178.955,85884430.30666418,1496793600000,256.21892337063565,23647279711.566154,231988781.8625898,1425081600000,1.836818633429963,67721765.38413551,1712605.5786206233,1567987200000,1.8310408164780363,666885098.689344,127920727.0464446,1566086400000,0.04737046324949391,1473825286.9820056,90275825.09110437
670,1425168000000,257.7075,3580465593.9375,58106060.44444854,1496880000000,260.3415097477362,24034963007.9528,181079369.60149828,1425168000000,1.881142984386162,69410421.36245254,3974037.0655830125,1568073600000,1.7938116584210657,653802752.6926881,121418889.6556714,1566172800000,0.05066438962767642,1574102763.856537,95155572.1177012
